Label,Notation,Parent Notation,Description
Exports,exports,,
Imports,imports,,
Dispatches,dispatches,exports,Exports to the EU 
Arrivals,arrivals,imports,Imports from the EU
Balance,balance,,Net Exports (Exports minus Imports)
